GeographyCode,QS110NI0001,QS110NI0002,QS110NI0003,QS110NI0004,QS110NI0005,QS110NI0006,QS110NI0007,QS110NI0008,QS110NI0009,QS110NI0010,QS110NI0011,QS110NI0012,QS110NI0013,QS110NI0014,QS110NI0015,QS110NI0016,QS110NI0017,QS110NI0018,QS110NI0019,QS110NI0020,QS110NI0021,QS110NI0022,QS110NI0023,QS110NI0024,QS110NI0025,QS110NI0026,QS110NI0027
95AA01S1,982,21,2,19,926,2,879,158,198,523,0,2,25,10,3,12,0,18,5,11,2,35,8,6,4,0,17
95AA01S2,1814,120,47,73,1525,78,1230,190,225,625,190,0,97,34,24,33,6,120,21,42,57,169,22,83,0,2,62
95AA01S3,1494,155,45,110,1177,62,881,164,194,345,178,0,77,44,9,18,6,157,38,58,61,162,48,47,2,0,65
95AA02W1,1734,346,155,191,1246,106,720,186,116,214,204,0,153,68,43,33,9,267,67,107,93,142,44,29,0,2,67
95AA03W1,1822,323,123,200,1357,108,671,138,136,265,132,0,168,62,39,64,3,410,111,180,119,142,40,28,0,2,72
95AA04W1,3002,171,73,98,2468,154,1981,282,319,936,444,0,150,36,41,60,13,183,39,54,90,363,93,142,2,10,116
95AA05W1,2654,192,88,104,2252,138,1738,182,266,846,444,0,130,34,31,43,22,246,88,76,82,210,83,53,0,10,64
95AA06S1,1953,187,90,97,1614,88,1099,128,194,587,190,0,143,28,34,70,11,284,66,162,56,152,47,66,0,2,37
95AA06S2,2651,169,69,100,2262,59,1688,154,283,1010,241,2,126,44,19,60,3,387,100,224,63,220,68,92,0,5,55
95AA07W1,2119,201,73,128,1726,138,1195,216,166,502,311,0,147,48,39,53,7,246,55,104,87,192,57,57,0,16,62
95AA08W1,1676,215,67,148,1287,96,615,100,119,185,211,0,158,36,45,62,15,418,109,198,111,174,38,58,0,4,74
95AA09W1,2143,307,87,220,1655,116,868,192,159,289,228,0,194,58,51,60,25,477,149,235,93,181,70,28,0,7,76
95AA10W1,1953,199,64,135,1579,138,886,188,136,334,228,0,146,34,28,69,15,409,96,191,122,175,72,42,0,8,53
95AA11S1,2698,330,115,215,2077,136,1362,278,270,612,202,2,272,104,68,80,20,305,85,131,89,291,80,61,0,6,144
95AA11S2,2431,157,44,113,2055,96,1613,246,337,816,214,0,166,64,37,58,7,180,52,81,47,219,74,63,3,2,77
95AA12W1,2775,180,92,88,2354,130,1946,306,401,918,321,2,111,48,22,31,10,165,31,75,59,241,48,99,0,14,80
95AA13S1,1707,151,47,104,1420,66,958,134,164,443,217,0,136,18,46,66,6,260,52,140,68,136,29,37,0,2,68
95AA13S2,1561,175,78,97,1238,78,821,124,147,407,143,0,134,44,36,45,9,205,71,75,59,148,30,49,0,6,63
95AA14W1,2302,130,80,50,1951,116,1589,270,288,667,364,0,54,20,6,22,6,192,30,85,77,221,57,86,0,14,64
95AA15S1,2630,223,50,173,2186,78,1476,280,310,648,238,0,264,106,74,81,3,368,119,154,95,221,46,54,0,0,121
95AA15S2,1472,172,28,144,1129,22,620,106,134,289,91,0,154,46,40,59,9,333,97,185,51,171,67,36,0,3,65
95AA16W1,1807,318,91,227,1333,116,721,144,150,291,136,0,174,60,54,49,11,322,83,142,97,156,33,26,0,2,95
95AA17W1,2142,237,71,166,1721,88,1022,192,146,405,279,0,192,42,55,78,17,419,137,171,111,184,55,71,3,0,55
95AA18W1,2373,257,121,136,1930,290,1321,346,133,556,286,2,139,66,24,46,3,178,50,68,60,186,64,24,4,8,86
95AA19W1,2645,157,66,91,2240,80,1729,118,357,899,355,2,54,18,6,30,0,375,67,165,143,248,85,88,0,12,63
95BB01S1,1574,105,51,54,1299,82,1016,140,192,470,214,2,68,18,12,16,22,131,33,55,43,170,43,27,0,7,93
95BB01S2,2035,165,56,109,1771,114,1312,210,280,560,262,0,143,38,27,46,32,202,55,91,56,99,35,16,0,0,48
95BB02W1,2334,438,202,236,1672,217,894,214,203,278,199,2,163,66,35,54,8,396,121,104,171,224,28,32,0,20,144
95BB03S1,2026,263,134,129,1611,158,989,206,190,434,159,4,191,70,36,79,6,269,102,80,87,152,30,28,0,4,90
95BB03S2,2191,214,117,97,1788,218,1197,284,206,467,240,0,169,84,27,49,9,204,61,88,55,189,43,53,0,11,82
95BB04S1,1399,192,80,112,1081,164,682,208,161,152,161,0,78,22,23,23,10,157,42,55,60,126,38,25,0,6,57
95BB04S2,1610,157,96,61,1366,210,959,216,126,356,261,2,72,32,12,17,11,123,41,33,49,87,9,37,0,11,30
